revenu_estime_mois,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret
857.0,3.0,0.11,615.0,1377.97,13157.101646368172
5245.0,2.0,0.79,615.0,10000.0,32408.309271881208
3792.0,0.0,0.13,592.6,5000.0,17975.461375021725
3291.0,3.0,0.32,554.0,10000.0,16004.737730594868
2577.0,3.0,0.58,578.6,5000.0,500.0
714.0,0.0,0.46,772.0,699.57,500.0
2629.0,3.0,0.22,622.0,10000.0,500.0
1572.0,3.0,0.85,356.0,5000.0,4494.300952230585
500.0,2.0,0.66,356.0,10000.0,500.0
2847.0,3.0,0.37,611.0,518.38,22788.001263240207
3440.0,2.0,0.14,633.0,5000.0,18070.091787237645
4508.0,3.0,0.33,677.8,831.36,8464.616164954017
885.0,3.0,0.48,375.0,5000.0,12373.56023523041
3114.0,4.0,0.5,646.0,10000.0,20050.690685912497
1501.0,3.0,0.1,585.2,10000.0,16303.54507463377
1840.0,2.0,0.52,434.0,596.0,500.0
2050.0,5.0,0.5,634.0,5000.0,500.0
3911.0,3.0,0.67,596.4,5000.0,500.0
3821.0,5.0,0.04,578.8,1141.89,500.0
500.0,3.0,0.5,531.0,925.87,17137.888522770147
500.0,2.0,0.22,595.4,5000.0,500.0
2802.0,3.0,0.01,675.4,5000.0,21691.867312082977
832.0,3.0,0.51,689.0,5000.0,23167.904430812967
4635.0,5.0,0.8,584.2,10000.0,1986.2237285384024
500.0,4.0,0.96,595.4,10000.0,500.0
900.0,3.0,0.14,663.8,5000.0,500.0
3853.0,2.0,0.4,656.0,10000.0,500.0
2203.0,3.0,0.8,518.8,866.27,16750.901381517804
1672.0,5.0,0.12,620.0,5000.0,500.0
2267.0,3.0,0.12,818.0,10000.0,27822.25265661032
2350.0,4.0,0.08,638.6,10000.0,12238.402238366429
2182.0,3.0,0.02,402.2,10000.0,18547.59442206578
923.0,3.0,0.57,489.6,5000.0,500.0
2214.0,3.0,0.86,464.0,10000.0,500.0
1959.0,5.0,0.5,597.2,5000.0,500.0
2687.0,3.0,0.65,505.0,5000.0,500.0
1788.0,3.0,0.9,461.0,10000.0,500.0
2125.0,3.0,0.93,786.0,10000.0,500.0
1389.0,1.0,0.6,604.2,793.17,1366.7152302536567
2850.0,3.0,0.89,453.4,10000.0,500.0
1809.0,4.0,0.28,763.0,5000.0,500.0
4370.0,3.0,0.15,804.0,10000.0,7915.101090898372
4778.0,0.0,0.4,594.8,5000.0,28396.908742389693
725.0,3.0,0.8,549.8,10000.0,18632.93584235897
2124.0,3.0,0.53,511.0,5000.0,500.0
3422.0,3.0,0.6,640.0,5000.0,14326.37709078331
3838.0,2.0,0.5,536.2,5000.0,500.0
660.0,3.0,0.64,499.0,5000.0,500.0
2071.0,3.0,0.6,526.4,10000.0,16528.519173978777
2714.0,3.0,0.88,734.0,10000.0,4704.9737016730005
2783.0,1.0,0.83,357.0,577.66,12733.330382969947
1788.0,3.0,0.56,726.0,5000.0,10540.674784050036
2600.0,5.0,0.98,556.2,5000.0,6156.501558240514
3008.0,4.0,0.05,484.0,5000.0,500.0
500.0,0.0,0.4,805.0,5000.0,500.0
3695.0,3.0,0.17,777.0,5000.0,22775.8955135935
3304.0,3.0,0.28,497.0,5000.0,8853.723228062805
897.0,3.0,0.05,719.0,5000.0,11778.343548052928
4278.0,5.0,0.7,455.0,10000.0,31072.702663736723
3072.0,3.0,0.56,373.0,5000.0,21531.409941811824
2537.0,0.0,0.97,472.2,10000.0,500.0
4525.0,2.0,0.81,761.0,949.24,10946.391315339892
1859.0,4.0,0.02,501.4,547.03,500.0
1566.0,5.0,0.28,418.0,5000.0,1992.4825524566772
3929.0,5.0,0.4,506.0,5000.0,15002.912094814255
4747.0,3.0,0.12,400.0,5000.0,500.0
3214.0,2.0,0.82,402.0,5000.0,10488.968596578909
3203.0,3.0,0.12,440.0,944.44,500.0
3865.0,3.0,0.52,536.2,1128.66,37282.162849122215
1851.0,2.0,0.67,573.0,348.33,10767.439217607673
1598.0,3.0,0.39,321.0,10000.0,24759.669493278125
1770.0,3.0,0.83,352.0,185.52,4161.441442592443
1083.0,4.0,0.49,680.8,10000.0,20879.755904736496
3127.0,3.0,0.17,718.8,5000.0,14801.426364952236
3041.0,1.0,0.66,665.2,627.58,11145.183005926978
2741.0,0.0,0.6,573.0,5000.0,500.0
3059.0,2.0,0.69,670.2,5000.0,28698.200373046937
2663.0,2.0,0.51,843.0,748.46,500.0
3361.0,3.0,0.65,558.2,10000.0,16872.53990370362
2530.0,3.0,0.7,454.0,10000.0,500.0
2660.0,3.0,0.53,837.0,926.62,37114.160550787055
500.0,4.0,0.97,718.0,559.26,29358.17769561137
2023.0,0.0,0.89,492.8,1032.32,500.0
904.0,5.0,0.29,561.0,1065.43,6712.726721442828
568.0,4.0,0.51,396.0,10000.0,500.0
3624.0,0.0,0.21,575.6,1073.5,500.0
2285.0,3.0,0.07,725.4,5000.0,24341.03004691129
1823.0,0.0,0.26,511.4,5000.0,9958.305010076558
2040.0,3.0,0.29,521.0,10000.0,15699.8867602253
1059.0,3.0,0.72,638.6,-19.16,500.0
2321.0,1.0,0.53,492.2,5000.0,15785.751255071553
5481.0,3.0,0.08,307.0,5000.0,22240.901666635506
1216.0,1.0,0.79,681.4,5000.0,11292.029477601953
1731.0,2.0,0.25,440.4,5000.0,4529.690297241665
4762.0,4.0,0.03,396.0,1486.62,500.0
3480.0,3.0,0.86,679.0,10000.0,17264.275901828485
4463.0,3.0,0.15,747.0,5000.0,500.0
1668.0,3.0,0.83,514.0,1149.82,25390.88273988203
974.0,3.0,0.18,525.0,650.62,500.0
1993.0,3.0,0.47,384.0,5000.0,1281.9229939424142
2863.0,3.0,0.34,591.8,1064.25,4124.384923241231
2217.0,3.0,0.59,606.2,5000.0,1703.2091550614111
3097.0,3.0,0.83,515.8,5000.0,500.0
2140.0,3.0,0.09,502.2,798.03,500.0
2777.0,3.0,0.32,358.0,1172.07,500.0
1075.0,3.0,0.41,569.2,10000.0,10667.772211678155
3619.0,1.0,0.43,597.8,10000.0,13279.43790734672
2597.0,1.0,0.3,592.2,1552.97,14865.32774958236
3152.0,2.0,0.88,470.8,5000.0,2426.265552876417
3243.0,3.0,0.56,483.0,522.19,500.0
